name,author,language,price,ratings,stars,pages
Harry Potter and the Philosopher's Stone,J.K. Rowling,English,₹119.00,"6,809",4.7,345
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,English,1,"115,189",4.5,352
The Magicians of Mazda,Ashwin Sanghi,English,57,528,4.5,492
"இந்திரனும், சந்திரனும் என்னவனே! (Tamil Edition)",[காதல் இளவரசி]  விஷ்ணுப்ரியா,Tamil,₹375.00,24,4.1,403
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,English,7,"13,891",4.5,536
Harry Potter and the Chamber of Secrets,J.K. Rowling,English,₹119.00,"37,726",4.7,373
Something I Never Told You,Shravya Bhinder,English,10,"1,891",4.3,256
Harry Potter and the Goblet of Fire,J.K. Rowling,English,₹299.00,"28,055",4.7,633
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,₹222.30,"31,141",4.7,475
Harry Potter and the Order of the Phoenix,J.K. Rowling,English,₹299.00,"26,011",4.7,815
Diary of a Wimpy Kid: The Deep End (Book 15),Jeff Kinney,English,9,"9,641",4.7,224
The Magicians Of Mazda,Ashwin Sanghi,English,57,528,4.5,491
Harry Potter and the Half-Blood Prince,J.K. Rowling,English,₹299.00,"30,298",4.7,652
The Secret Garden,Frances Hodgson Burnett,English,13,"10,914",4.4,280
Harry Potter and the Deathly Hallows,J.K. Rowling,English,₹299.00,"32,435",4.7,313
காலங்களில் அவள் வசந்தம் (Tamil Edition),Sashi  Murali,Tamil,₹761.00,362,4.5,681
கவிமலரே உன் மென்மையில் வன்மை காணவா (Tamil Edition),சஹானா சனா,Tamil,₹550.00,82,4.3,505
Harry Potter 1-3 Box Set: A Magical Adventure Begins,J.K. Rowling,English,16,"2,701",4.7,1216
Beach Read (Lead Title),Emily Henry,English,11,"31,854",4.2,368
"The Catch: From the million-copy Sunday Times bestselling author of THE HOLIDAY, now a major NETFLIX drama",T.M. Logan,English,₹281.64,"20,168",4.2,450
A Thousand Kisses Deep,Novoneel Chakraborty,English,7,,Previous,256
BEYOND THE DARKNESS: The Malhotra Series #3,,English,₹99.00,129,4.4,331
"29 Seconds: From the million-copy Sunday Times bestselling author of THE HOLIDAY, now a major NETFLIX drama",T.M. Logan,English,₹281.64,"5,780",4.2,434
On Earth We're Briefly Gorgeous,Ocean Vuong,English,2,"9,333",4.4,256
The Complete Adventures of Feluda Vol. 1,Satyajit Ray,English,4,897,4.7,804
Harry Potter and the Philosopher's Stone: Illustrated [Kindle in Motion] (Illustrated Harry Potter Book 1),J.K. Rowling,English,₹313.95,"19,851",4.8,258
Favourite Stories of Courageous Girls: inspiring heroines from classic children's books,Frances Hodgson Burnett,English,16,259,4.4,320
River God: The Egyptian Series 1 (Egypt Series),Wilbur Smith,English,₹268.85,"2,597",4.5,675
Deception Game,Meenu Pillai,English,₹99.00,162,4.4,256
Man-eaters of Kumaon,Jim Corbett,English,21,177,4.6,264
